        2       1      19       6       1       2
 BH3                                                                             
 aoints SIFS file created by argos.      colosse2          16:37:21.494 14-Jan-18
       19
     a
        2    4096    3272    4096    2700       0
     1B__1s    2B__1s    3B__1s    4B__1s    5B__2p    6B__2p    7B__2p    8B__2p
     9B__2p   10B__2p   11B__2p   12B__2p   13B__2p   14H__1s   15H__1s   16H__1s
    17H__1s   18H__1s   19H__1s
       -1
   1.120073799001E-01  19   3
   3.816570610382E-02  19   4
  -1.475884665889E-01  19   5
  -8.521020607215E-02  19   7
  -1.722811781907E-01  19   8
  -9.946654393311E-02  19  10
  -3.887161476562E-02  19  11
  -2.244252807208E-02  19  13
  -6.420614345145E-03  18  14
  -1.551199526424E-02  18  15
  -1.551199526424E-02  19  14
   5.525684930508E-03  19  15
  -6.420621618464E-03  18  16
  -1.551199293950E-02  18  17
  -1.551199293950E-02  19  16
   5.525701312318E-03  19  17
   1.549404550449E+00  18  18
   2.931517669861E-01  19  18
   2.747880000000E-01  19  19
     114    116      0      0      2      0      1      2
   0.000000000000E+00
  -2.494625744650E+01   1   1
  -1.820090962689E+00   2   1
  -5.429150685070E+00   2   2
  -2.513570906158E+00   3   1
  -3.898889630227E+00   3   2
  -3.999378666014E+00   3   3
  -9.160632273577E-01   4   1
  -1.747307640397E+00   4   2
  -2.363576505410E+00   4   3
  -2.184056381641E+00   4   4
   1.442684205630E-08   7   1
   9.902572375045E-08   7   2
   5.930266637542E-08   7   3
   2.197073966448E-08   7   4
  -5.755482106463E+00   5   5
  -5.593027648945E+00   6   6
  -5.755481903987E+00   7   7
   2.168731236076E-09  10   1
   3.532805181089E-08  10   2
  -2.339796228989E-08  10   3
  -4.161240463318E-08  10   4
  -2.426318383309E+00   8   5
  -2.302579290258E+00   9   6
  -2.426318274182E+00  10   7
  -2.960000871056E+00   8   8
  -2.780597723197E+00   9   9
  -2.960000821477E+00  10  10
   6.504339659344E-09  13   2
  -2.094563908428E-08  13   3
  -4.033019958966E-08  13   4
  -6.128117442604E-01  11   5
  -5.785760340113E-01  12   6
  -6.128117187759E-01  13   7
  -1.374837599674E+00  11   8
  -1.304685844852E+00  12   9
  -1.374837594602E+00  13  10
  -1.519951646188E+00  11  11
  -1.476960826796E+00  12  12
  -1.519951652562E+00  13  13
  -2.029652771438E-01  14   1
  -1.088404012376E+00  14   2
  -1.289837724118E+00  14   3
  -7.373893462946E-01  14   4
  -1.684554841409E+00  14   7
  -1.657330046497E+00  14  10
  -5.251396562145E-01  14  13
  -1.354951733701E+00  15   1
  -2.326370722672E+00  15   2
  -2.578680236631E+00  15   3
  -1.627593733175E+00  15   4
  -1.557788540259E+00  15   7
  -1.916470007275E+00  15  10
  -8.706104455646E-01  15  13
  -4.467154674148E+00  14  14
  -2.554506900202E+00  15  14
  -3.306023195312E+00  15  15
  -2.029660769896E-01  16   1
  -1.088405995273E+00  16   2
  -1.289838885423E+00  16   3
  -7.373896944202E-01  16   4
  -1.458869574766E+00  16   5
   8.422783960036E-01  16   7
  -1.435290462404E+00  16   8
   8.286649938466E-01  16  10
  -4.547842616506E-01  16  11
   2.625697077977E-01  16  13
  -1.354953038909E+00  17   1
  -2.326372468965E+00  17   2
  -2.578681571574E+00  17   3
  -1.627594218811E+00  17   4
  -1.349084972006E+00  17   5
   7.788942619891E-01  17   7
  -1.659711743922E+00  17   8
   9.582346135797E-01  17  10
  -7.539705962668E-01  17  11
   4.353049394691E-01  17  13
  -9.214105270429E-03  16  14
  -3.012160857067E-01  16  15
  -3.012159783766E-01  17  14
  -1.052395226605E+00  17  15
  -4.467155900286E+00  16  16
  -2.554507679833E+00  17  16
  -3.306024064996E+00  17  17
  -2.029660769896E-01  18   1
  -1.088405995273E+00  18   2
  -1.289838885423E+00  18   3
  -7.373896944202E-01  18   4
   1.458869574766E+00  18   5
   8.422783960036E-01  18   7
   1.435290462404E+00  18   8
   8.286649938466E-01  18  10
   4.547842616506E-01  18  11
   2.625697077977E-01  18  13
  -1.354953038909E+00  19   1
  -2.326372468965E+00  19   2
  -2.578681571574E+00  19   3
  -1.627594218811E+00  19   4
   1.349084972006E+00  19   5
   7.788942619891E-01  19   7
   1.659711743922E+00  19   8
   9.582346135797E-01  19  10
   7.539705962668E-01  19  11
